location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,Texas,"Bexar County, TX",Restricting,Social distancing,Visitor restrictions,Criminal justice system/prisons/jails/incarcerated persons,The Bexar County Justice Center Complex shall have limited points of access with strict screening at entrance,2020-09-16,2020-09-16,2020-10-28,Unspecified,
Local,Texas,"Bexar County, TX",Restricting,Social distancing,Private sector closures,Restaurants/bars; Non essential business (inclusive); Outdoor recreation or space,Bexar County closes bars and rafting/tubing services.,2020-09-16,2020-09-16,2020-10-28,Unspecified,
Local,Texas,"Bexar County, TX",Restricting,Social distancing,Other forms of social distancing,Government/public buildings; Public sector/government employees; General population (inclusive),Extension of order requiring essential Bexar County business to be completed by mail or online.,2020-09-16,2020-09-16,2020-10-28,Unspecified,
Local,Texas,"Bexar County, TX",Restricting,Social distancing,Adaptation and mitigation measures,Essential business (inclusive); Non essential business (inclusive),"All commercial entities must develop and implement a health and safety policy that at the minimum require employees, customers, and other visitors to wear face covering when social distancing is not possible, and it must also show a list of symptoms near entrances",2020-09-16,2020-09-16,2020-10-28,Unspecified,
Local,Texas,"Bexar County, TX",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),"Large gatherings or events estimated to be in excess of 10 people, whether indoor or outdoor, are prohibited.",2020-09-16,2020-09-16,2020-10-28,Unspecified,
Local,Texas,"Bexar County, TX",Restricting,Social distancing,Visitor restrictions,Nursing homes/assisted living facility; Older adults/individuals with underlying medical conditions,No one should visit assisted living facilities unless to provide critical services or for visitation as determined by Texas Health and Human Services Commission Guidance and employees shouldn't visit more than one long-term care facility or dialysis facility,2020-09-21,2020-09-21,2020-10-28,Unspecified,
Local,Texas,"Bexar County, TX",Restricting,Social distancing,Other forms of social distancing,Housing sector,"Foreclosure sale scheduled for October 6, 2020 be postponed to be rescheduled at a later date",2020-09-21,2020-10-06,Unspecified,Unspecified,
Local,Texas,"Dallas County, TX",Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility; Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),Dallas County mandates testing for elderly planning on entering nursing homes.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Adaptation and mitigation measures,Essential workers (inclusive),"Dallas County mandates common-sense gathering restrictions and health policies, such as hand washing, for manufacturing employees.",2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Health screening,Essential workers (inclusive),Dallas County mandates health screening for employees of manufacturers and distributors.,2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Distancing mandate,Essential workers (inclusive),Dallas County mandates six feet of distance in between manufacturing and distribution workers.,2020-04-02,2020-04-02,Unspecified,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Distancing mandate,Farming/Agriculture/Food processing,Dallas County mandates six feet of distance whenever possible in food processing plants.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Quarantine,Confirmed cases,Dallas County mandates quarantine for all sick individuals.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Isolation,Suspected cases,Dallas County mandates isolation for all sick individuals.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,"Dallas County mandates visitor restrictions at long-term care facilities if a case is confirmed. Additionally, new residents may not be admitted within 30 days of a case unless from a state facility.",2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,Dallas County orders restrictions on visitors at long-term care facilities.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Isolation,Nursing homes/assisted living facility; General population (inclusive); Suspected cases; Confirmed cases,Dallas County mandates isolation and quarantine for family members who bring home a nursing home resident who tests negative for COVID-19 as well as for those who may have come into contact with a potential case.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Health screening,Farming/Agriculture/Food processing,Dallas County mandated health screening at food processing plants.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Adaptation and mitigation measures,Farming/Agriculture/Food processing,Dallas County mandates hand-washing and disinfecting at food processing plants.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Health screening,Nursing homes/assisted living facility,Dallas County mandates health screening at long-term care facilities.,2020-06-16,2020-06-16,2020-08-04,Unspecified,
Local,Texas,"Dallas County, TX",Restricting,Social distancing,Private sector closures,Non essential business (inclusive); Entertainment/concert venues/nightclubs; Restaurants/bars,Dallas County Health and Human Services close certain businesses.,2020-07-24,2020-07-24,Unspecified,Unspecified,Until order is rescinded.
Local,Texas,"El Paso (city), TX",Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Institutes testing requirements for long-term care facilities. The facility should begin testing at the frequency prescribed in the Routine Testing Table (in document) based on the county 7-day rolling average positivity rate.   Asymptomatic staff and residents who have recovered from COVID-19 infection do not need to be tested within 3 months unless they become symptomatic again.,2020-07-22,2020-07-23,Unspecified,2020-07-24,
Local,Texas,"El Paso (city), TX",Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Nursing homes/assisted living facility,"Requires procedure for certain elderly care facilities to perform molecular testing on all of their employees: A. Molecular testing shall be performed every other week on all staff who have never tested positive for COVID-19. B. Molecular testing shall be performed every other week until all staff members test negative. C. If, or once all, staff tests negative, then molecular testing should be performed monthly for a period of three (3) months. D. A determination regarding the continuation of staff testing shall be made by the Local Health Authority after the third month of testing after consideration of the prevalence of COVID-19 cases in the County of El Paso. E. Facilities are required to keep a record of their testing data, including dates of testing, the names of staff members, and staff test results. Such data must be provided to the Local Health Authority for use by the Local Health Authority in determining the need for continued testing pursuant to paragraph 1 (D), above",2020-07-27,2020-07-27,Unspecified,2020-07-28,
Local,Texas,"El Paso (city), TX",Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"Facilities which have all residents and staff test negative after conducting baseline testing should only perform monthly testing for 3 months. If a facility identifies a positive case, they should perform weekly testing.",2020-07-27,2020-07-28,Unspecified,2020-07-29,
Local,Texas,"El Paso (city), TX",Other,Contact tracing/Testing,Testing,General population (inclusive),"An individual that receives a positive COVID-19 test result but that has not yet been contacted by the City’s Department of Public Health within 24 hours of receiving the laboratory results, must isolate, and those from within their household must quarantine, and report to (915) 212-6520 within 24 hours of receiving the positive test result.   Healthcare workers and first responders should follow the current Department of Public Health’s Guidelines for Healthcare Workers and First Responders, as published on epstrong.org.",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Institutes testing requirements for long-term care facilities. The facility should begin testing at the frequency prescribed in the Routine Testing Table (in document) based on the county 7-day rolling average positivity rate.   Asymptomatic staff and residents who have recovered from COVID-19 infection do not need to be tested within 3 months unless they become symptomatic again.,2020-10-16,2020-10-16,Unspecified,2020-10-17,Until further modified or terminated
Local,Texas,"El Paso (city), TX",Other,Social distancing,Mass gathering restrictions,Outdoor recreation or space,"Terminates previous order from 6/29/20. All permitted Outdoor Mass Gatherings in the city-county area must comply with the Texas Governor's Executive Orders, minimum standard health protocols, and state and federal agency guidelines.",2020-07-08,2020-07-08,Unspecified,2020-07-09,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Terminates previous order from 6/29/20. All permitted Parades and other Outdoor Markets in the city-county area must comply with the Texas Governor's Executive Orders, minimum standard health protocols, and state and federal agency guidelines.",2020-07-08,2020-07-08,Unspecified,2020-07-09,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Terminates previous order from 6/29/20. All permitted Outdoor Markets in the city-county area must comply with the Texas Governor's Executive Orders, minimum standard health protocols, and state and federal agency guidelines.",2020-07-08,2020-07-08,Unspecified,2020-07-09,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Adaptation and mitigation measures,General population (inclusive),"Requires employers to make certain prevention materials available for staff, to display educational materials, to train employees how to use certain equipment (gloves, masks, etc.)",2020-07-27,2020-07-27,Unspecified,2020-07-28,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Isolation,General population (inclusive),"For discontinuation of self-isolation, the Local Health Authority requires the use of the symptom-based method for those with symptoms during their infection or the time-based method for those who tested positive without symptoms. The test-based method is no longer recommended by the CDC.",2020-07-27,2020-07-27,Unspecified,2020-07-28,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Health screening,General population (inclusive),Requires employers to conduct health screenings on employees/contractors; they are required to send home anyone who has symptoms and ask them to test for COVID-19,2020-07-27,2020-07-27,Unspecified,2020-07-28,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Adaptation and mitigation measures,Homeless shelters/homeless individuals,"Requires shelters to take all preventative measures necessary to protect residents, such as monitoring symptoms, quarantine of symptomatic patients and isolation, cleaning and disinfecting policy, and requiring social distancing.",2020-07-27,2020-07-27,Unspecified,2020-07-28,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility,Facilities must completely decontaminate after a cluster of positive cases has been identified. Financial support can be offered (email for consideration).,2020-07-27,2020-07-28,Unspecified,2020-07-29,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Adaptation and mitigation measures,Public sector/government employees,Renews Emergency Ordinance No. 019036 and amends its Section 4 to allow for virtual City Council meetings to be held at 3:30PM on Mondays and Tuesdays.,2020-08-31,2020-08-31,Unspecified,2020-09-27,30 days
Local,Texas,"El Paso (city), TX",Other,Social distancing,Isolation,General population (inclusive),"Terminates the Local Health Authority Orders for All Independent School Districts and Private Schools in El Paso County for Reopening On-Campus Instruction, issued on 8/20/20",2020-09-09,2020-09-09,Unspecified,2020-09-10,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Alternative election measures,General population (inclusive),Requires El Paso County Election Administrator to adopt and implement a health screening policy for staff and poll workers based on symptoms.,2020-10-13,2020-10-13,Unspecified,2020-11-03,
Local,Texas,"El Paso (city), TX",Other,Social distancing,Visitor restrictions,Hospitals/urgent care/emergency medical services,Health care workers are permitted to enter faciliites as long as they are not subject to a work exclusion due to COVID-19 exposure or show signs/symptoms of COVID-19 after screening. EMS personnel do not need to be screened.,2020-10-16,2020-10-16,Unspecified,2020-10-17,Until further modified or terminated
Local,Texas,"El Paso (city), TX",Other,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,Prohibits visitation except for Compassionate Care Visitation (CCV). Visits are only allowed following facilities' COVID-19 infection control plan. Facilities may still restrict CCV according to reasonable clinical or safety causes.,2020-10-16,2020-10-16,Unspecified,2020-10-17,Until further modified or terminated
Local,Texas,"El Paso (city), TX",Other,Social distancing,Curfews,Restaurants/bars,"Dine-in restaurant services must close after 10PM, but may continue as take-out. They may resume at 6AM.",2020-12-15,2020-12-15,Unspecified,2020-12-16,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Public services,"The City will begin a safe and phased reopening of some City facilities, such as parks, tennis courts, basketball courts, pools, the soo, public museums, and public libraries.",2020-07-27,2020-07-27,Unspecified,2020-07-28,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Higher education; Secondary education; Primary education,"Declares no occupancy limit for any public or private schools, and any public or private institutions of higher education, not already covered above",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; Indoor recreation/sports facility,Declares no occupancy limit for recreational sports programs for youths and adults,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Churches/places of worship,Declares no occupancy limit for religious services.,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Personal care facilities,Declares no occupancy limit for personal care and beauty services that operate with at least 6 feet of social distancing in between work stations,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Essential business (inclusive),Declares no occupancy limit for essential critical services,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Childcare facilities (preschool or other daycare),Declares no occupancy limit for child-care services and youth camps,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"Declares no occupancy limit for local government operations, including county and municipal governmental operation.",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Declares no occupancy limit for drive-in concerts, movies, or similar events, under guidelines that facilitate appropriate social distancing. that generally require spectators to remain in their vehicles, and that minimize in-person contact between people who are not in the same household or vehicle",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Public sector/government employees,"Declares no occupancy limit for local government operations, including county and municipal governmental operation.",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Declares no occupancy limit for drive-in concerts, movies, or similar events, under guidelines that facilitate appropriate social distancing. that generally require spectators to remain in their vehicles, and that minimize in-person contact between people who are not in the same household or vehicle",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Declares no occupancy limit for outdoor recreational sports programs for youths and adults without spectators. Professional outdoor recreational sports may allow spectators, in accordance with this Directive, the State Minimum Standard Health Protocols, and as determined by the owner;",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Childcare facilities (preschool or other daycare),Declares no occupancy limit for child-care services and youth camps,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Churches/places of worship,Declares no occupancy limit for religious services.,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Mass gathering restrictions,Outdoor recreation or space,Allows outdoor sports activities to have gatherings over 10 individuals in City parks.,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Higher education; Secondary education; Primary education,"Declares no occupancy limit for any public or private schools, and any public or private institutions of higher education, not already covered above",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Personal care facilities,Declares no occupancy limit for personal care and beauty services that operate with at least 6 feet of social distancing in between work stations,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Relaxing,Social distancing,Adaptation and mitigation measures,Essential business (inclusive),Declares no occupancy limit for essential critical services,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Public service closures,Public sector/government employees,Renews Emergency Ordinance No. 019036 and amends several sections:  Section 2: Suspends all City board and commission meetings. Any boards that meet should obey the Texas Open Meetings Act and attempt to reduce in person meetings.,2020-06-08,2020-06-08,Unspecified,2020-07-06,30 days
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),"Renews Emergency Ordinance No. 019036 and amends several sections:  Section 5: Prohibits social gatherings in groups over 10 (not including including places like grocery stores, gas stations, churches, banks, as long as precautions are taken). Arcades must remain closed. Restaurants may remain open (as according to Health Authority).",2020-06-08,2020-06-08,Unspecified,2020-07-06,30 days
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Mass gathering restrictions,Outdoor recreation or space,Parades and outdoor gatherings limited to 10 people.,2020-07-02,2020-07-02,Unspecified,2020-07-03,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,School closures,Minors and children,"- Schools cannot re-open on-campus, face-to-face instruction until after 9/7/20. Schools will create their own plans for re-opening on-campus activities.   - Children with special healthcare needs that are considered medically fragile will not return to on-campus instruction until 2021-2022. - Extra curricular sports shall not take place until reopened.",2020-07-09,2020-07-09,2020-09-07,2020-08-20,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,Prohibits visitation except for Compassionate Care Visitation (CCV). Visits are only allowed following facilities' COVID-19 infection control plan. Facilities may still restrict CCV according to reasonable clinical or safety causes.,2020-07-22,2020-07-23,Unspecified,2020-07-24,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility,"Requires adherence to CMS Opening Up American Guidance Phase I:  - Visitation is prohibited, except for compassionate care situations. In those situations, visitors must be screened, wear a face mask, and follow all social distancing/hygiene procedures.  - Restricted entry of non-essential healthcare personnel - Limited communal dining. Residents may eat in the same room if socially distanced.  - Avoid non-medically necessary trips. If necessary, resident must wear a face mask and facility must share the resident's COVID-19 status with transportation. - All persons entering the facility must be screened for symptoms and wear a face mask - All staff must be tested weekly - Dedicate space in facility for cohorting and managing care for residents with COVID-19",2020-07-27,2020-07-28,Unspecified,2020-07-29,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,School closures,Minors and children,"- Schools cannot re-open on-campus, face-to-face instruction until after 9/7/20. Schools will create their own plans for re-opening on-campus activities.   - Children with special healthcare needs that are considered medically fragile will not return to on-campus instruction until 2021-2022. - Extra curricular sports shall not take place until reopened.",2020-08-20,2020-08-20,Unspecified,2020-09-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,Declares 50% of normal operating limits (as determined by owner) for outdoor professional and similar sporting events (like rodeos). No spectators may attend with the exception of professional sporting events.,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,Amusement parks shall operate at no more than 50% of the normal operating limits as determined by the owner.,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,"People may not visit nursing homes, state supported living centers, assisted living facilities, or long-term care facilities. These facilities should follow infection control policies and practices set forth by HHSC, including minimizing the movement of staff between facilities whenever possible.",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Private sector,"Every business establishment in Texas shall operate at no more than 50% of the total listed occupancy of the establishment, unless specific exemptions.",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Stay at home,General population (inclusive),Individuals cannot be in groups larger than 10 (including their own household) and should maintain 6 feet of social distancing from those not in their household. No home gatherings with those not in their household.,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Stay at home,Older adults/individuals with underlying medical conditions,"People over the age of 65 are strongly encouraged to stay at home as much as possible; to maintain appropriate distance from any member of the household who has been out of the residence in the previous 14 days; and if leaving home, to follow social distancing rules and to practice good hygiene, environmental cleanliness, and sanitation.",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive),"Allows the following businesses to operate at up to 75% of total occupancy of the establishment, except for those in  In  areas with with  high hospitalizations: a. In-store, non-CISA retail establishments; b. Dine-in restaurants (<51% gross receipts from alcohol) c. Non-CISA office buildings; d. Museums and libraries; and e. Gyms and exercise facilities and classes.  ""Areas with high hospitalizations"" means any Trauma Service Area that has had seven consecutive days in which the number of COVID-19 hospitalized patients as a percentage of all hospitalized patients exceeds 15 percent, until such time as the Trauma Service Area has seven consecutive days in which the number of COVID-19 hospitalized patients as a percentage of all hospitalized patients is 15 percent or less. A current list of areas with high hospitalizations will be maintained at https:/,\vww .dshs.texas.gov/ga303 I/.",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Private sector closures,Restaurants/bars,Prohibits visitation of bars or similar establishments unless through pickup/drive-thru/delivery as allowed by TABC.,2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Declares 50% occupancy limit for professional, collegiate, or similar sporting events, water parks, swimming pools, museums and libraries, and zoos and other similar facilities",2020-09-18,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Declares no occupancy limit for outdoor areas except for: - amusement parks - water parks - swimming pools - museums and libraries - zoo, similar facilities  Which can operate at 75%  or 50%, dependent on whether El Paso is defined as an area with high hospitalizations, of normal operating limits as determined by the owner.",2020-10-08,2020-10-08,Unspecified,2020-10-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive),"In areas with high hospitalizations as defined below, any business establishment that would otherwise have 75% occupancy/operating limits would have only 50%   ""Areas with high hospitalizations"" means any Trauma Service Area that has had seven consecutive days in which the number of COVID-19 hospitalized patients as a percentage of all hospitalized patients exceeds 15 percent, until such time as the Trauma Service Area has seven consecutive days in which the number of COVID-19 hospitalized patients as a percentage of all hospitalized patients is 15 percent or less. A current list of areas with high hospitalizations will be maintained at https:/,\vww .dshs.texas.gov/ga303 I/.",2020-10-08,2020-10-08,Unspecified,2020-10-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,Bars and similar establishments may only have on-premises services up to 50% of total occupancy only if El Paso is not an area with high hospitaliz,2020-10-08,2020-10-08,Unspecified,2020-10-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Any outdoor gathering in excess of 10 people is prohibited unless prior approval from the Mayor is obtained.   This prohibition shall not apply to the activities or gatherings set forth specified in other policies  - essential activities  - amusement parks, water parks/pools, zoos, museums and libraries - indoor/outdoor sports, including rodeo",2020-10-08,2020-10-08,Unspecified,2020-10-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Declares no occupancy limit for outdoor areas except for: - amusement parks - water parks - swimming pools - museums and libraries - zoo, similar facilities  Which can operate at 75%  or 50%, dependent on whether El Paso is defined as an area with high hospitalizations, of normal operating limits as determined by the owner.",2020-10-08,2020-10-08,Unspecified,2020-10-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,Only sit-down dine-in restaurants that have <51% of gross receipts from sale of alcoholic beverages may have dine-in services,2020-10-08,2020-10-08,Unspecified,2020-10-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"All indoor and outdoor professional, collegiate, and similar sporting events, including rodeos and equestrian events, shall remain limited to 50% of normal operating limits as determined by the owner.",2020-10-08,2020-10-08,Unspecified,2020-10-09,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Curfews,Restaurants/bars,All dine-in restaurant services (outdoor or indoor) must end at 9PM and continue via takeout/drive-thru only. Restaurants may resume services at 6AM.,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Indoor recreation/sports facility,Postpones all non-professional indoor sporting events,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,"People may not visit nursing homes, state supported living centers, assisted living facilities, or long-term care facilities. These facilities should follow infection control policies and practices set forth by HHSC, including minimizing the movement of staff between facilities whenever possible.",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Stay at home,Older adults/individuals with underlying medical conditions,"People over the age of 65 are strongly encouraged to stay at home as much as possible; to maintain appropriate distance from any member of the household who has been out of the residence in the previous 14 days; and if leaving home, to follow social distancing rules and to practice good hygiene, environmental cleanliness, and sanitation.",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Stay at home,General population (inclusive),Individuals cannot be in groups larger than 10 (including their own household) and should maintain 6 feet of social distancing from those not in their household. No home gatherings with those not in their household.,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Private sector,"Every business establishment in Texas shall operate at no more than 50% of the total listed occupancy of the establishment, unless specific exemptions.",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Declares 50% occupancy limit for amusement parks, water parks, swimming pools, museums and libraries, and zoos and other similar facilities",2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Private sector closures,Restaurants/bars,Prohibits visitation of bars or similar establishments unless through pickup/drive-thru/delivery as allowed by TABC.,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso (city), TX",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,Declares 50% of normal operating limits (as determined by owner) for outdoor professional and similar sporting events (like rodeos). No spectators may attend with the exception of professional sporting events.,2020-10-15,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso County, TX",Other,Social distancing,Adaptation and mitigation measures,General population (inclusive),"Prohibits any outdoor gathering in excess of 100 people unless prior approval from the County Judge is obtained. This prohibition does not apply to the activities or gatherings set forth in paragraphs 1, 2, or 4 of Governor Abbott’s Executive Order GA-28.",2020-06-29,2020-06-29,Unspecified,2020-07-04,
Local,Texas,"El Paso County, TX",Other,Social distancing,Stay at home,Hospitals/urgent care/emergency medical services,"Individuals who serve as caretakers to individuals living in a different home setting, may continue to visit those individuals to provide necessary care",2020-10-16,2020-10-16,Unspecified,2020-10-17,
Local,Texas,"El Paso County, TX",Other,Social distancing,Private sector closures,Non essential business (inclusive),Requires all commercial non-essential businesses cease all activities except Minimum Basic Operations as defined in this Order. Businesses may continue operations consisting exclusively of working from home or providing Retail to Go.,2020-10-29,2020-10-29,Unspecified,2020-11-11,
Local,Texas,"El Paso County, TX",Other,Social distancing,Private sector closures,Non essential business (inclusive),Requires all commercial non-essential businesses cease all activities except Minimum Basic Operations as defined in this Order. Businesses may continue operations consisting exclusively of working from home or providing Retail to Go.,2020-10-29,2020-10-29,Unspecified,2020-11-11,
Local,Texas,"El Paso County, TX",Other,Social distancing,Mass gathering restrictions,General population (inclusive),"Individuals shall not be in groups larger than ten (10), including those within the individual’s household, and shall maintain six feet of social distancing from those not in their group. Within these groups, individuals shall minimize in-person contact with others not in the household.",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
